Wall time,Step,Value
1654213941.8151095,19,154.80392456054688
1654214349.8346667,39,235.26524353027344
1654214758.2300172,59,183.944091796875
1654215166.8924406,79,168.6168670654297
1654215575.5638518,99,151.885986328125
1654215984.254691,119,134.48057556152344
1654216392.563286,139,113.51325225830078
1654216800.7890315,159,125.80489349365234
1654217208.9462106,179,104.32806396484375
1654217617.2667785,199,99.26262664794922
1654218025.9588609,219,102.24281311035156
1654218434.739609,239,92.56514739990234
1654218843.5764525,259,90.71508026123047
1654219252.2444642,279,94.51114654541016
1654219661.134376,299,87.12281036376953
1654220069.8571246,319,89.62689208984375
1654220478.4859724,339,83.42024993896484
1654220887.1587665,359,77.5303955078125
1654221295.6182406,379,89.3499755859375
1654221704.2193348,399,74.95833587646484
1654222112.9121935,419,74.53284454345703
1654222521.64878,439,67.09103393554688
1654222930.2100406,459,68.1670150756836
1654223338.8745458,479,78.49398803710938
1654223747.479136,499,77.74673461914062
1654224155.8207743,519,59.618507385253906
1654224564.2974124,539,61.36328125
1654224973.064495,559,59.146827697753906
1654225382.4435222,579,59.5024528503418
1654225792.295065,599,62.442230224609375
1654226202.6196163,619,59.0363883972168
1654226612.9427276,639,53.626953125
1654227023.5498576,659,57.058658599853516
1654227434.2770677,679,50.83106231689453
1654227844.7699907,699,55.530067443847656
1654228255.4568417,719,52.06602478027344
1654228666.3467674,739,42.90338134765625
1654229077.5253181,759,48.63973617553711
1654229489.029961,779,49.14521026611328
1654229900.5076654,799,42.616790771484375
1654230312.0397596,819,43.514442443847656
1654230723.75673,839,39.121551513671875
1654231135.6685746,859,40.07501220703125
1654231547.7924795,879,44.73814010620117
1654231959.9958284,899,43.28889083862305
1654232372.4867284,919,38.23773956298828
1654232785.3658454,939,35.99433517456055
1654233198.832999,959,39.894813537597656
1654233612.2859776,979,37.470375061035156
1654234025.7756276,999,39.49031448364258
1654234439.2979038,1019,31.263633728027344
1654234852.8073635,1039,34.201812744140625
1654235265.8965032,1059,34.88127899169922
1654235678.164238,1079,30.024913787841797
1654236090.862231,1099,28.215238571166992
1654236504.4750106,1119,28.82339096069336
1654236917.972289,1139,32.933773040771484
1654237331.352399,1159,27.252891540527344
1654237744.4608922,1179,28.099624633789062
1654238157.1708844,1199,24.6925106048584
1654238569.028749,1219,24.543743133544922
1654238980.523579,1239,26.817153930664062
1654239393.4281147,1259,22.007556915283203
1654239806.25438,1279,21.83440589904785
1654240219.5587022,1299,20.71500587463379
1654240632.0882633,1319,20.885061264038086
1654241045.2492464,1339,21.263145446777344
1654241458.4187818,1359,20.055633544921875
1654241871.36445,1379,18.545501708984375
1654242284.3599591,1399,22.05644416809082
1654242697.4179265,1419,14.850955963134766
1654243110.6878848,1439,21.42134666442871
1654243524.1399434,1459,18.369754791259766
1654243938.1024733,1479,11.731886863708496
1654244352.4627602,1499,19.797338485717773
1654244766.7790027,1519,17.081130981445312
1654245180.527324,1539,20.579254150390625
1654245594.169895,1559,19.997203826904297
1654246007.6265588,1579,18.64698028564453
1654246421.1713302,1599,19.68803596496582
1654246834.5474882,1619,17.267974853515625
1654247247.992095,1639,13.903496742248535
1654247662.1734185,1659,21.45673370361328
1654248078.1265655,1679,13.596670150756836
1654248491.7049327,1699,15.035804748535156
1654248905.4024866,1719,13.532517433166504
1654249318.9020321,1739,15.163595199584961
1654249732.8067207,1759,15.558650970458984
1654250146.1131089,1779,11.798860549926758
1654250559.321422,1799,11.062726974487305
1654250971.709482,1819,7.725522041320801
1654251384.4167905,1839,14.080467224121094
1654251797.2043676,1859,15.402661323547363
1654252210.293034,1879,15.267995834350586
1654252623.1345847,1899,10.85602855682373
1654253036.1130626,1919,8.89151382446289
1654253448.4881804,1939,11.507448196411133
1654253860.8452535,1959,16.964881896972656
1654254273.1779294,1979,6.5030107498168945
1654254685.447557,1999,4.825431823730469
